id,name,enblocID,mrtID,distToMrt,schoolID,distToSchool,constituencyID,lat,lng
1378,1919,1,"36,66,10","0.44,0.56,0.58","1,2,3","0.14,0.95,1.16",28,1.302776,103.8466
636,# 1 LOFT,1,"2,74,35","0.41,0.74,0.8","4,5,6","0.52,0.55,1.32",15,1.312764,103.8835
2097,# 1 SUITES,1,"2,74,35","0.47,0.72,0.98","4,5,6","0.63,0.76,1.35",11,1.31239,103.8815
690,1 CANBERRA,1,"122,92,59","1.03,1.7,2.31","7,8,9","0.28,0.57,0.97",11,1.284022,103.8649
281,1 KING ALBERT PARK,4,"60,6,96","0.4,0.68,1.99","10,11,12","0.47,0.54,1.46",8,1.336574,103.7803
1296,1 MOULMEIN RISE,3,"77,42,75","0.31,1.07,1.25","13,13,14","0.81,0.81,0.85",11,1.319086,103.8471
546,10 SHELFORD,1,"15,104,43","0.45,0.53,1.07","15,16,17","0.74,0.82,1.81",8,1.325808,103.8125
2702,11 AMBER ROAD,3,"35,74,83","1.51,1.96,2.2","18,19,20","0.69,1.46,1.49",18,1.299054,103.8994
863,111 EMERALD HILL,1,"97,79,75","0.56,0.81,0.82","2,1,21","0.55,0.79,1.23",28,1.305059,103.8392
577,16 @ AMBER,1,"35,74,83","1.45,1.9,2.15","18,19,20","0.66,1.44,1.52",18,1.299652,103.8988
1026,18 SHELFORD,2,"15,104,43","0.58,0.6,1.24","16,15,17","0.77,0.89,1.83",8,1.32732,103.8128
1641,18 WOODSVILLE,1,"85,45,119","0.23,0.99,1.06","22,23,24","0.41,0.66,0.97",22,1.32958,103.8682
703,21 RICHARDS,1,"61,94,51","0.45,1.63,1.65","25,26,27","1.06,1.08,1.33",1,1.361881,103.8814
396,26 NEWTON,1,"77,75,66","0.53,0.54,1.34","28,2,14","0.7,0.7,1.1",28,1.315693,103.8416
234,28 IMPERIAL RESIDENCES,1,"2,35,74","0.56,0.64,0.66","5,4,6","0.41,0.63,1.45",15,1.31178,103.8846
2295,28 RC SUITES,1,"42,66,52","0.34,0.52,0.59","14,3,1","0.37,0.82,1.03",28,1.309982,103.853
2463,28 SHELFORD,4,"104,15,43","0.58,0.8,1.36","16,15,17","0.6,0.98,2.02",8,1.329305,103.812
509,283 STUDIO,2,"97,44,36","0.52,0.61,0.7","21,1,2","0.45,1.14,1.54",28,1.295704,103.8398
1372,3 @ PHILLIPS,2,"61,94,67","1.22,1.58,1.85","27,29,25","0.68,1.05,1.28",1,1.363375,103.8745
2753,3 @ SANDILANDS,2,"61,94,51","0.79,1.44,1.97","27,25,29","0.95,1.22,1.33",1,1.281795,103.8489
1957,30 ST THOMAS WALK,1,"97,79,36","0.38,0.81,1.05","21,1,2","0.35,1.33,1.46",28,1.297538,103.8358
2565,368 THOMSON,1,"77,110,24","0.91,0.93,1.17","13,28,30","0.34,1.14,1.29",11,1.327091,103.842
903,38 I SUITES,1,"83,35,40","0.8,0.81,1.15","19,18,5","0.74,0.83,0.9",15,1.311693,103.8963
2896,448 @ EAST COAST,1,"57,40,83","1.36,1.69,2.47","31,20,32","0.39,0.47,0.61",15,1.308824,103.9135
2143,6 DERBYSHIRE,1,"77,75,42","0.47,0.95,0.98","14,2,13","0.65,0.85,1.15",11,1.315682,103.8459
1355,76 SHENTON,1,"106,107,80","0.34,1.01,1.04","33,34,35","0.69,1.95,2.4",11,1.273466,103.8456
221,8 @ MOUNT SOPHIA,1,"36,10,17","0.29,0.54,0.68","1,2,3","0.26,1.03,1.24",28,1.300965,103.846
2033,8 @ WOODLEIGH,1,"119,85,4","0.35,0.5,1.38","36,22,37","0.68,0.73,1.19",22,1.336408,103.8698
203,8 BASSEIN,1,"77,110,42","0.62,1.05,1.37","13,13,38","0.49,0.49,1.07",11,1.298214,103.8494
606,8 EDEN GROVE,4,"94,119,4","0.54,0.68,0.92","39,37,36","0.62,0.72,1.09",15,1.344773,103.8723
441,8 FARRER SUITES,1,"42,11,13","0.24,0.92,0.95","14,38,3","0.53,0.81,1.25",11,1.279927,103.8443
1148,8 NAPIER,2,"79,99,43","1.29,1.64,1.9","40,17,21","1.82,1.86,2.17",28,1.30691,103.8207
1100,8 RAJA,1,"110,77,24","0.87,0.87,1.21","13,13,28","0.24,0.24,1.19",11,1.327241,103.8425
2432,8 RODYK,2,"44,28,32","0.78,0.93,1.05","21,41,33","0.49,1.43,1.62",28,1.273942,103.8357
769,833 M B RESIDENCES,2,"35,74,83","1.21,1.76,1.84","18,19,31","0.39,1.16,1.45",18,1.302633,103.8984
2331,8M RESIDENCES,1,"74,35,98","0.99,1.07,1.54","5,18,4","1.32,1.46,2.08",18,1.29929,103.8887
2219,91 MARSHALL,1,"35,40,83","1.29,1.48,1.55","18,19,31","0.14,0.64,1.1",15,1.306532,103.901
2684,A TREASURE TROVE,1,"87,93,18","0.23,1.56,2.48","42,43,44","0.97,1.19,1.35",23,1.40486,103.8994
2969,AALTO,1,"35,74,83","1.45,1.82,2.25","18,19,20","0.84,1.62,1.71",18,1.298404,103.8973
3008,ABELIA,5,"79,75,99","0.78,1.14,1.18","17,28,2","1.29,1.35,1.5",28,1.309669,103.828
918,ADAM PARK CONDO,2,"104,15,43","0.63,0.64,1.3","16,15,17","0.76,0.95,1.85",8,1.328391,103.8128
1092,ADAM PLACE,5,"15,104,43","0.38,0.55,1.02","15,16,17","0.7,0.88,1.77",8,1.325223,103.813
245,ADRIA,1,"77,42,75","0.42,0.97,1.03","14,2,13","0.67,0.94,1.07",11,1.316446,103.8463
426,AFFLUENCE COURT,4,"4,94,61","0.93,1.05,1.1","45,37,26","0.24,1.02,1.22",15,1.35015,103.8831
324,AIRSTREAM,1,"85,13,45","0.73,0.88,1.08","22,24,23","0.45,0.66,0.85",11,1.327327,103.864
2473,ALBA,4,"75,97,79","0.57,0.83,0.96","2,1,28","0.3,0.82,1.34",28,1.307415,103.8397
2211,ALESSANDREA,3,"90,109,79","0.64,0.67,1.8","41,46,21","0.78,0.97,1.55",28,1.290506,103.8226
1260,ALEXIS,1,"88,90,34","0.41,1.07,1.63","40,46,47","0.57,1.05,1.27",28,1.291304,103.8074
3107,ALLSWORTH PARK,5,"37,23,33","0.95,1.74,1.79","48,49,11","0.47,1.5,1.51",8,1.319877,103.7811
710,ALPHA APARTMENTS,2,"40,57,83","0.92,1.31,1.52","19,31,18","0.27,0.86,0.91",15,1.311839,103.9054
575,ALTEZ,1,"106,80,107","0.28,0.86,0.96","33,34,35","0.52,1.81,2.25",11,1.274618,103.8443
1164,AMANINDA,2,"77,110,75","0.65,1.19,1.41","13,13,28","0.38,0.38,0.86",28,1.324613,103.8411
3060,AMARYLLIS VILLE,2,"75,77,66","0.5,0.59,1.24","2,28,14","0.61,0.78,1.04",20,1.377905,103.9423
1262,AMBER PARK,5,"35,74,83","1.44,1.94,2.07","18,19,20","0.54,1.31,1.4",18,1.30235,103.9013
1259,AMBER POINT,5,"35,74,83","1.49,1.9,2.23","18,19,20","0.75,1.53,1.59",18,1.298861,103.8985
688,AMBER RESIDENCES,1,"35,74,83","1.51,2.05,2.06","18,19,20","0.46,1.21,1.24",18,1.301256,103.9008
1577,AMPAS APARTMENTS,5,"110,77,13","0.83,1.06,1.39","13,13,38","0.75,0.75,0.88",11,1.326195,103.8511
2290,APLETON VIEW,3,"77,42,75","0.22,1.14,1.18","13,13,14","0.78,0.78,0.9",11,1.31907,103.8461
1659,AQUARINE GARDENS,2,"7,57,105","1.19,1.9,2.55","50,51,32","0.84,1.25,1.42",15,1.313508,103.9281
408,AQUARIUS BY THE PARK,1,"9,103,7","0.35,0.94,1.62","52,53,54","0.48,0.53,0.69",7,1.33856,103.9359
593,ARC AT TAMPINES,1,"103,9,101","1.19,1.53,1.85","55,56,57","0.9,1.13,1.23",27,1.349959,103.9287
3020,ARCHIPELAGO,1,"8,55,9","0.43,1.33,1.36","58,59,60","0.27,0.3,0.97",1,1.337844,103.9207
772,ARDMORE 3,1,"79,75,99","0.67,1.11,1.29","28,17,2","1.39,1.39,1.43",28,1.308436,103.8286
2634,ARDMORE II,2,"79,75,99","0.73,1.13,1.23","17,28,2","1.34,1.38,1.47",28,1.309588,103.8276
2677,ARDMORE PARK,2,"79,75,99","0.71,1.02,1.23","28,17,2","1.28,1.32,1.37",28,1.309745,103.8301
862,ARTHUR MANSIONS,5,"74,35,98","0.92,1.14,1.39","5,18,4","1.36,1.63,2.09",18,1.298902,103.8872
315,ASCENT @ 456,1,"110,77,16","0.73,0.89,1.58","13,38,30","0.44,1.15,1.22",28,1.29733,103.8149
1520,ASCENTIA SKY,1,"90,109,88","0.15,1.21,1.28","46,40,41","0.6,1.18,1.25",28,1.290945,103.817
104,ASIA GARDENS,5,"80,106,28","0.56,0.88,1.12","33,34,35","0.19,1.13,1.57",27,1.355862,103.9415
2498,ASPEN HEIGHTS,1,"44,97,36","0.57,0.61,0.76","21,1,2","0.42,1.22,1.64",28,1.294716,103.8401
1845,ASPEN LINQ,1,"97,44,36","0.56,0.59,0.71","21,1,2","0.44,1.16,1.57",28,1.295342,103.8398
358,ASPEN LOFT,2,"40,57,83","0.59,1.14,1.32","19,61,18","0.36,1.1,1.14",15,1.314902,103.9047
763,ASTON LODGE,4,"56,74,98","0.64,0.8,0.85","4,5,6","1.13,1.24,1.68",11,1.310131,103.8771
2616,ASTON MANSIONS,3,"83,35,2","0.54,0.6,0.92","5,4,19","0.44,0.82,1.38",15,1.313933,103.8906
1210,ASTOR,2,"55,57,8","0.85,0.87,0.87","62,60,61","0.31,0.79,1.07",15,1.328796,103.913
1343,ASTOR GREEN,4,"37,33,23","0.68,1.27,1.89","48,49,63","0.87,0.99,1.47",8,1.317841,103.7765
480,ASTORIA PARK,3,"57,40,55","0.14,0.98,1.58","51,61,62","0.79,0.89,1.11",15,1.321173,103.9121
1950,ASTRID MEADOWS,4,"50,23,96","0.7,1.37,1.39","48,15,16","1.18,1.46,1.8",28,1.318798,103.7946
709,ASTRIDVILLE,5,"50,96,43","1.02,1.1,1.56","48,15,16","1.16,1.52,1.67",28,1.321327,103.7941
2312,ATRIUM RESIDENCES,2,"2,35,74","0.5,0.63,0.85","5,4,6","0.34,0.52,1.34",15,1.313255,103.8857
1185,AURA 83,1,"40,57,83","1.06,1.34,1.66","19,31,20","0.4,0.71,0.84",15,1.310968,103.9063
1399,AURALIS,1,"57,40,7","1.29,1.83,2.21","32,31,20","0.5,0.7,0.75",15,1.310368,103.916
1961,AUSTVILLE RESIDENCES,1,"18,93,51","0.93,1.31,1.44","64,65,66","0.63,0.76,0.8",26,1.380793,103.9017
1361,AVA TOWERS,4,"77,42,13","0.89,1.07,1.15","38,13,13","0.64,0.92,0.92",11,1.322225,103.8518
2462,AVALON,3,"99,75,79","0.86,1.04,1.07","17,28,2","0.94,1.06,1.48",28,1.312764,103.8291
